2.18583	14.93650	52.01007
1.82152	14.20789	52.71291
0.72861	14.57219	52.36149
3.46090	15.48295	53.24004
1.09291	14.93650	53.06433
1.45722	14.20789	52.36149
1.63937	14.02573	52.18578
1.63937	14.39004	52.53720
1.82152	11.65775	52.01007
1.45722	14.20789	51.65865
3.27874	13.84358	51.65865
1.63937	15.11865	52.18578
1.09291	13.11497	51.30724
2.91444	14.20789	51.65865
12.02206	26.22994	46.03594
23.49766	40.98429	72.56811
14.75434	20.21892	77.83940
16.21156	26.04779	70.45959
13.47928	50.27406	52.01007
8.37901	62.29612	33.03342
4.00735	57.92446	3.86561
14.39004	41.71290	-6.85268
19.49030	33.69819	-3.68990
21.31183	33.33389	2.63565
15.11865	44.62733	17.74668
12.75067	46.26671	39.71040
18.21524	37.88770	56.57853
30.05515	22.04044	64.83688
36.43048	2.55013	60.79556
35.51971	-10.01838	54.99714
35.51971	-16.57587	49.37443
35.33756	-22.22259	35.14194
37.15909	-19.67246	23.19368
35.33756	-10.20053	4.91987
24.95488	0.18215	-8.60978
7.28610	4.37166	-15.81387
-7.10394	-9.28977	-11.77255
-12.20421	-19.49030	-3.68990
-14.75434	-31.87667	13.52965
-12.20421	-36.61263	31.10062
-7.28610	-14.93650	63.25550
-10.20053	1.09291	69.22962
-12.56851	28.23362	62.37695
-12.75067	44.08088	44.27885
-15.48295	49.72760	29.69494
-13.29712	53.37065	23.72081
-10.92914	44.80949	2.45994
-17.12232	29.50869	-8.78549
-24.77272	13.47928	-11.59684
-33.69819	-4.55381	-2.98707
-35.33756	-11.29345	0.00000
-34.24465	-7.28610	-2.10852
-36.61263	14.75434	-1.58139
-33.51604	39.34492	18.27381
-29.32653	38.06985	44.80598
-15.11865	19.12600	20.90946
-4.73596	0.00000	69.22962
6.19318	-10.56484	66.41827
20.58322	-15.84726	57.80849
30.23730	-23.31551	44.27885
32.05882	-23.67981	34.79052
32.96958	-24.59057	26.88358
32.42313	-19.67246	12.65110
36.79478	-8.01471	7.73123
40.80214	11.29345	7.37981
43.71658	18.94385	8.43407
39.34492	6.92179	3.51419
33.51604	-11.29345	4.91987
26.41210	-22.76905	8.60978
13.47928	-35.70187	22.13942
6.19318	-36.79478	32.33059
1.27507	-35.88402	38.12901
5.28242	-35.51971	38.83184
7.46825	-35.88402	33.91197
22.58690	-32.42313	27.76213
44.26303	-6.73964	17.04384
45.53810	19.67246	21.78800
34.79111	43.17012	32.50630
26.59425	39.34492	58.68704
24.95488	24.22627	65.53972
31.14806	23.49766	60.61985
30.60160	36.43048	46.03594
28.23362	42.07720	38.83184
21.31183	46.44886	36.37191
10.92914	48.81684	35.84478
2.00368	50.45621	32.50630
3.27874	51.00267	17.92239
5.82888	40.80214	-0.70284
3.64305	32.78743	-7.02839
0.54646	19.49030	-11.77255
-2.18583	5.46457	-11.94826
-2.18583	-9.10762	-10.19116
-7.28610	-29.14438	6.67697
-6.55749	-35.70187	20.38233
-1.82152	-35.70187	30.22207
7.10394	-32.96958	39.53468
5.64672	-15.84726	60.97127
5.28242	1.27507	67.29682
4.73596	20.40107	67.12111
4.37166	32.42313	60.09272
12.93282	40.25568	52.88862
22.95120	37.88770	48.49588
30.05515	31.51236	48.67159
28.05147	37.52339	44.27885
31.87667	38.06985	35.31765
37.70554	34.06250	23.01797
40.43783	18.94385	10.89400
37.15909	13.47928	0.70284
42.44151	18.76170	6.14984
45.17379	18.94385	19.32807
44.44518	20.76537	24.24794
40.07352	29.87299	16.86813
35.88402	31.51236	8.60978
36.97694	25.31918	6.85268
38.43415	23.49766	6.14984
39.89137	25.68349	13.52965
43.89873	20.94753	29.34352
